fid,id,o,d,value,timestamp,day_type,mode
372,3878,1001208,1001213,0.006928396,1365,weekday,c
373,3894,1001217,1001202,4.676464,450,weekday,c
374,3905,1001253,1001206,1.4740436,435,weekday,c
375,3910,11,1001256,0.13318948,1065,weekday,c
376,3915,1001239,6,0.32912686,840,weekday,c
377,3921,1001239,1001266,0.03556767,825,weekday,c
378,3933,1001243,1001262,0.24035268,975,weekday,c
379,3940,1001256,42374,0.042348176,810,weekday,c
380,3943,16,1001218,0.59137785,300,weekday,c
381,3944,16,1001239,1.5212,840,weekday,c
382,3957,10,42374,0.005872042,255,weekday,c
383,3960,3,1001205,1.6362188,1260,weekday,c
384,3968,7,1001208,3.027579,1095,weekday,c
385,3974,1001244,1001202,0.0023042802,1365,weekday,c
386,3987,42374,1001202,0.012287671,510,weekday,c
387,3990,1001266,1001212,3.4175825,690,weekday,c
388,3994,1001243,1001213,0.006238972,195,weekday,c
389,4007,2,1001256,0.035216376,165,weekday,c
390,4039,7,1001203,9.019474,1170,weekday,c
391,4063,1001253,60232,0.59659415,1290,weekday,c
392,4076,1001266,1001203,1.7015538,1050,weekday,c
393,4082,12,1001207,0.0045649735,225,weekday,c
394,4088,16,1001255,7.1540775,720,weekday,c
395,4094,60292,1001217,3.0058,900,weekday,c
396,4095,1001267,1001242,0.00012748182,75,weekday,c
397,4126,1001218,1001261,0.20450172,645,weekday,c
398,4127,1001204,12,10.247269,630,weekday,c
399,4133,1001208,1001214,0.0654516,510,weekday,c
400,4143,1001243,1001242,0.00044361863,75,weekday,c
401,4157,16,1001256,2.961736,405,weekday,c
402,4176,6,1001241,27.122902,975,weekday,c
403,4192,8,12,3.677514,1050,weekday,c
404,4193,15,1001208,8.083081,1065,weekday,c
405,4198,60292,1001262,0.48497072,930,weekday,c
406,4203,42374,1001217,0.045240194,585,weekday,c
407,4206,1001255,1001242,0.036055524,825,weekday,c
408,4207,1001253,1001206,0.891527,930,weekday,c
409,4208,1001208,8,2.0325242e-05,60,weekday,c
410,4220,3,60292,11.632955,1125,weekday,c
411,4221,1001244,1,1.6963618,450,weekday,c
412,4250,6,1001255,0.110918015,225,weekday,c
413,4254,1001211,8,0.3536319,435,weekday,c
414,4261,1001208,8,0.0017208526,660,weekday,c
415,4268,1001266,1001244,0.0008233796,105,weekday,c
416,4282,3,2,0.01686949,1425,weekday,c
417,4292,46751,45938,88.88794,885,weekday,c
418,4302,16,1001204,45.478592,975,weekday,c
419,4326,6,1001205,0.36158425,1350,weekday,c
420,4341,7,1001242,0.036366504,105,weekday,c
421,4356,1001213,10061628,0.042719718,1260,weekday,c
422,4415,1001205,1001216,1.0783255,465,weekday,c
423,4423,1001255,1001213,0.020670155,255,weekday,c
424,4437,1001267,1001261,0.013696322,1275,weekday,c
425,4445,10,1001206,0.10629236,1005,weekday,c
426,4454,1001207,13,0.17488427,300,weekday,c
427,4469,1001254,1001205,0.112479046,270,weekday,c
428,4493,1,1001217,45.82189,1125,weekday,c
429,4495,1001214,2,0.0030728162,45,weekday,c
430,4497,1001206,6,10.940618,825,weekday,c
431,4500,1001217,1001205,0.3755217,1200,weekday,c
432,4507,1001254,1001202,0.025248686,105,weekday,c
433,4511,42374,1001267,2.036101e-06,30,weekday,c
434,4530,1001253,60232,3.1146388,570,weekday,c
435,4539,1001211,1001212,0.056188,90,weekday,c
436,4544,1001267,1001204,0.011296642,330,weekday,c
437,4547,1001208,46751,1.4960145,825,weekday,c
438,4585,1001207,1001203,0.06938476,975,weekday,c
439,4592,1001239,60292,6.3915268e-06,0,weekday,c
440,4602,1001217,1001256,3.222386,885,weekday,c
441,4615,12,1,6.487447,375,weekday,c
442,4621,1001255,1001254,0.11322639,315,weekday,c
443,4648,1001207,16,4.3418694,585,weekday,c
444,4650,1001205,6,0.13778299,120,weekday,c
445,4656,1001204,1001202,0.3196771,300,weekday,c
446,4659,1001217,1001256,0.65979373,1260,weekday,c
447,4672,1001266,1001267,0.002784719,1410,weekday,c
448,4674,1001205,1001239,0.000107875465,75,weekday,c
449,4711,1001243,1001256,0.013422148,1395,weekday,c
450,4713,1001256,3,0.106617875,105,weekday,c
451,4717,15,1001214,6.058876,870,weekday,c
452,4722,1001256,1001203,0.28677574,255,weekday,c
453,4738,1001217,1001240,0.06941985,450,weekday,c
454,4744,1001241,1001213,0.14642821,765,weekday,c
455,4747,13,1001261,0.9271999,525,weekday,c
456,4769,1001214,1001216,0.498669,705,weekday,c
457,4770,4,1001267,0.013919987,750,weekday,c
458,4781,1001241,1001267,0.052491855,810,weekday,c
459,4801,1001262,1001253,0.014784794,1350,weekday,c
460,4808,1001262,1001242,0.03301815,1050,weekday,c
461,4828,1001266,3,14.037896,1155,weekday,c
462,4833,1001213,1001205,0.0118638165,1380,weekday,c
463,4836,1001206,1001240,0.008547858,900,weekday,c
464,4842,6,1001241,13.941572,495,weekday,c
465,4855,16,1001255,4.0931435,1230,weekday,c
466,4860,46751,8,3.6519923e-05,0,weekday,c
467,4882,42374,1001202,0.014721733,765,weekday,c
468,4885,1001214,13,0.009502034,60,weekday,c
469,4932,1001211,1001214,0.044431664,1380,weekday,c
470,4933,60232,1001205,0.09125716,1200,weekday,c
471,4967,16,1001241,1.6356789,1185,weekday,c
472,4970,14,1001208,1.0485631,930,weekday,c
473,4977,60232,1001267,0.00011721831,15,weekday,c
474,4980,14,60292,0.45433894,1170,weekday,c
475,4983,60292,46751,0.0031041764,75,weekday,c
476,4994,13,42374,0.011161156,1350,weekday,c
477,5001,46751,1001206,2.188736,705,weekday,c
478,5005,1001213,3,4.869082,1020,weekday,c
479,5020,7,1001266,49.412247,810,weekday,c
480,5021,1001243,1001266,0.49594173,405,weekday,c
481,5045,1001206,15,57.33103,1050,weekday,c
482,5047,7,1001211,7.6254997,1290,weekday,c
483,5053,7,1001202,65.574394,495,weekday,c
484,5066,3,5,404.1082,360,weekday,c
485,5079,1001216,1001262,0.006562428,60,weekday,c
486,5085,16,2,70.2576,615,weekday,c
487,5086,6,1001218,0.39665687,105,weekday,c
488,5089,7,1001242,1.346452,975,weekday,c
489,5091,15,1001244,0.035416774,270,weekday,c
490,5103,1001211,6,0.7074857,1425,weekday,c
491,5111,1001212,1001214,0.8443072,765,weekday,c
492,5116,3,1001242,0.03147069,1350,weekday,c
493,5118,1001243,1001262,0.06761961,1215,weekday,c
494,5125,1001244,1001205,0.018989231,375,weekday,c
495,5138,14,1001203,4.431042,1170,weekday,c
496,5144,1001212,1001211,1.8867618,1140,weekday,c
497,5147,1001211,1001267,0.00070113834,75,weekday,c
498,5149,1001242,5,2.4653337,675,weekday,c
499,5152,1001206,1001218,0.09968665,1320,weekday,c
500,5161,1001213,8,0.17719702,750,weekday,c
501,5165,1001261,1001218,0.006254655,1425,weekday,c
502,5169,1001240,8,0.00019592016,390,weekday,c
503,5171,1001239,15,2.8250773,960,weekday,c
504,5172,1,1001216,1.0229796,90,weekday,c
505,5183,2,5,174.84752,630,weekday,c
506,5185,1001207,1001205,0.047459166,750,weekday,c
507,5199,1001217,1001267,0.005915487,1380,weekday,c
508,5214,1001207,5,0.0023108602,975,weekday,c
509,5251,1001253,6,0.05613812,60,weekday,c
510,5253,1001262,1001204,0.9245257,945,weekday,c
511,5258,3,1001202,22.015305,1005,weekday,c
512,5260,1001213,3,1.8585478,645,weekday,c
513,5261,4,1001253,14.270892,525,weekday,c
514,5262,6,1001211,2.960922,1260,weekday,c
515,5263,1001261,1001267,0.0008974824,120,weekday,c
516,5269,1001239,60292,0.0012691125,735,weekday,c
517,5273,1001255,15,0.5364526,1320,weekday,c
518,5277,10,1001266,0.04905421,30,weekday,c
519,5288,14,1001217,2.9292128,270,weekday,c
520,5293,1001214,1001255,0.014921048,315,weekday,c
521,5297,1001205,1,4.6218796,1275,weekday,c
522,5318,1001203,60232,0.2211751,675,weekday,c
523,5324,1001213,1001211,0.6209647,1080,weekday,c
524,5337,1001206,1001243,0.019276123,210,weekday,c
525,5341,1001262,60232,0.02890187,165,weekday,c
526,5355,42374,1001256,0.07177773,1140,weekday,c
527,5356,1001216,15,17.992126,660,weekday,c
528,5370,15,4,32.367832,1305,weekday,c
529,5372,1001256,60232,1.2102591,1155,weekday,c
530,5381,1001267,1001254,0.00055512623,15,weekday,c
