id,from_node,via_node,to_node,penalty
500,638460005,1092776278,410792700,9999999
501,248837257,264251858,248837257,9999999
502,305090117,303203448,299118451,9999999
503,246665999,246666016,246666011,9999999
504,1200136743,1200136655,1200136395,9999999
505,398677807,286413997,1617125307,9999999
506,304457443,304457632,304457443,9999999
507,1957360642,1957360641,958231014,9999999
508,1340314552,1340314548,1340314475,9999999
509,319981922,2390153653,1119847030,9999999
510,298920996,1339496425,2316535101,9999999
511,1340314552,1340314548,298573501,9999999
512,394744155,394744156,314388176,9999999
513,248837256,270302537,270302535,9999999
514,298923892,298923896,1340102511,9999999
515,1554560810,1812356469,1812356475,9999999
516,9552007047,9552007048,7141177521,9999999
517,298573944,298573943,252528339,9999999
518,305086290,395229033,305086290,9999999
519,286718211,286718201,1200136537,9999999
520,305087479,1235831240,305087479,9999999
521,309029899,309030060,298924185,9999999
522,277730489,373111598,277730890,9999999
523,305100899,332450606,332450603,9999999
524,320037539,319981206,1693079586,9999999
525,1812356468,1812356475,1812356469,9999999
526,248678326,2295094056,297384976,9999999
527,372717286,262121667,369688016,9999999
528,428214536,5208018203,428214536,9999999
529,1200136673,286718274,286718251,9999999
530,902586741,1812356436,1812356446,9999999
531,1236041282,304452861,304452858,9999999
532,1234739985,157454131,1617101308,9999999
533,1340594349,248837256,1693215089,9999999
534,1200136724,286718211,286718201,9999999
535,1693215089,248837256,1693215089,9999999
536,304150493,304150901,304150904,9999999
537,286718201,1200136335,286718192,9999999
538,1200136724,1200136537,303203192,9999999
539,400700292,305100900,400700292,9999999
540,1340594349,248837256,1340594312,9999999
541,1200136228,372727140,286718187,9999999
542,286718201,1200136335,286718201,9999999
543,1693215089,248837256,1340594312,9999999
544,305091891,314418749,305100422,9999999
545,13532437451,330718979,298571322,9999999
546,391287245,304456783,304456785,9999999
547,1236041282,304452861,250903503,9999999
548,1200136743,1200136655,1200136367,9999999
549,1803896310,2318233360,1803896310,9999999
550,1332881095,357694342,319981453,9999999
551,372717220,372717177,1236600876,9999999
552,4719281327,4719281333,302977423,9999999
553,428171143,252940196,304462433,9999999
554,298924989,10895705526,298921356,9999999
555,372782832,373834174,373834178,9999999
556,902586741,902586685,902586627,9999999
557,398680370,398804402,1125630088,9999999
558,400700288,332450606,305100899,9999999
559,320037586,2390153653,1119847030,9999999
560,319981922,2390153653,1119847011,9999999
561,252528523,298921671,672066098,9999999
562,1812356475,1812356477,1812356475,9999999
563,286718187,372727140,1200136655,9999999
564,373112557,356949232,373112567,9999999
565,356948345,356948357,356948359,9999999
566,372717177,319981453,319981615,9999999
567,253708636,252528544,304150466,9999999
568,253708636,252528544,391278628,9999999
569,262112504,2390161049,262112736,9999999
570,309029899,309030060,298923892,9999999
571,9552007047,9552007048,9552007043,9999999
572,319982281,319982233,257710522,9999999
573,252994740,253708638,391278629,9999999
574,356949232,373112567,306725814,9999999
575,1271941853,372717220,372717232,9999999
576,400700288,332450606,332450603,9999999
577,920281633,920272881,920281560,9999999
578,1641271277,1641271301,394739374,9999999
579,1236041358,304452858,304452861,9999999
580,305085972,305086290,395229033,9999999
581,305090261,395229032,395229033,9999999
582,356948345,356948357,356948345,9999999
