WKT,id
"MULTIPOLYGON (((12.4292144721675 41.8497994206583,12.4480642744342 41.8359969719218,12.4537414085297 41.8292201163348,12.4465281779512 41.8212324198757,12.4448158372087 41.8214769267731,12.4429691015264 41.8226355093072,12.4367032483952 41.8327603172686,12.4292144721675 41.8497994206583)))",1001213
"MULTIPOLYGON (((12.4367032483952 41.8327603172686,12.4429691015264 41.8226355093072,12.4392383010752 41.8175766305911,12.4363456168427 41.8171095285988,12.4367032483952 41.8327603172686)))",1001243
"MULTIPOLYGON (((12.4431465588548 41.8130141011953,12.4392383010752 41.8175766305911,12.4429691015264 41.8226355093072,12.4448158372087 41.8214769267731,12.4432983901363 41.8129927784359,12.4431465588548 41.8130141011953)))",1001255
"MULTIPOLYGON (((12.4441321342205 41.8083547708996,12.4472215755565 41.8058404812726,12.4467850630576 41.8047136474385,12.4442905544953 41.8022792036993,12.4402079611701 41.803090184391,12.4394174471903 41.8058957589082,12.4441321342205 41.8083547708996)))",1001256
"MULTIPOLYGON (((12.4448010711278 41.782169048502,12.4459781410139 41.788992711949,12.4522251047809 41.7995873335577,12.4536087945103 41.8018005413762,12.4541508483675 41.802240126963,12.4553426284545 41.8022026229949,12.461828900822 41.782169048502,12.4448010711278 41.782169048502)))",4
"MULTIPOLYGON (((12.4433875098871 41.8129311337315,12.4464499758835 41.8133869778657,12.4507612099552 41.8089888665432,12.4495208217534 41.8067349737797,12.4472215755565 41.8058404812726,12.4441321342205 41.8083547708996,12.4433875098871 41.8129311337315)))",1001214
"MULTIPOLYGON (((12.4432983901363 41.8129927784359,12.4448158372087 41.8214769267731,12.4465281779512 41.8212324198757,12.450836124461 41.8175745415112,12.4464499758835 41.8133869778657,12.4433875098871 41.8129311337315,12.4432983901363 41.8129927784359)))",1001261
"MULTIPOLYGON (((12.450836124461 41.8175745415112,12.4514114275903 41.8174949787346,12.4536884602731 41.8108821826287,12.4507612099552 41.8089888665432,12.4464499758835 41.8133869778657,12.450836124461 41.8175745415112)))",1001253
"MULTIPOLYGON (((12.4472215755565 41.8058404812726,12.4495208217534 41.8067349737797,12.4541508483675 41.802240126963,12.4536087945103 41.8018005413762,12.4491171018257 41.8011407784868,12.4471506743301 41.8040904629172,12.4467850630576 41.8047136474385,12.4472215755565 41.8058404812726)))",1001267
"MULTIPOLYGON (((12.4467850630576 41.8047136474385,12.4471506743301 41.8040904629172,12.4476615557611 41.7965092641702,12.4459944489414 41.7904314956363,12.4442905544953 41.8022792036993,12.4467850630576 41.8047136474385)))",45938
"MULTIPOLYGON (((12.4476615557611 41.7965092641702,12.4489040890204 41.800384372225,12.4522251047809 41.7995873335577,12.4459781410139 41.788992711949,12.4459944489414 41.7904314956363,12.4476615557611 41.7965092641702)))",47681
"MULTIPOLYGON (((12.450836124461 41.8175745415112,12.4465281779512 41.8212324198757,12.4537414085297 41.8292201163348,12.4562347534655 41.8277723588354,12.4578689066373 41.8214693657699,12.4514114275903 41.8174949787346,12.450836124461 41.8175745415112)))",1001266
"MULTIPOLYGON (((12.4471506743301 41.8040904629172,12.4491171018257 41.8011407784868,12.4489040890204 41.800384372225,12.4476615557611 41.7965092641702,12.4471506743301 41.8040904629172)))",46751
"MULTIPOLYGON (((12.4495208217534 41.8067349737797,12.4507612099552 41.8089888665432,12.4536884602731 41.8108821826287,12.461119847956 41.8092132983878,12.4608676946622 41.8068418776212,12.4553426284545 41.8022026229949,12.4541508483675 41.802240126963,12.4495208217534 41.8067349737797)))",1001244
"MULTIPOLYGON (((12.4536087945103 41.8018005413762,12.4522251047809 41.7995873335577,12.4489040890204 41.800384372225,12.4491171018257 41.8011407784868,12.4536087945103 41.8018005413762)))",47386
"MULTIPOLYGON (((12.4480642744342 41.8359969719218,12.4606907171423 41.837747540091,12.4624727795097 41.8353750737732,12.4614919584698 41.8307037716347,12.4562347534655 41.8277723588354,12.4537414085297 41.8292201163348,12.4480642744342 41.8359969719218)))",1001206
"MULTIPOLYGON (((12.4731441902443 41.782169048502,12.4791499920911 41.8003376777763,12.4819154476862 41.7994670611275,12.4845378228419 41.7938350779339,12.4867041795425 41.782169048502,12.4731441902443 41.782169048502)))",6
"MULTIPOLYGON (((12.461828900822 41.782169048502,12.4553426284545 41.8022026229949,12.4608676946622 41.8068418776212,12.4666305269805 41.7970722686189,12.4644748154323 41.782169048502,12.461828900822 41.782169048502)))",5
"MULTIPOLYGON (((12.4514114275903 41.8174949787346,12.4578689066373 41.8214693657699,12.46428059709 41.816911109126,12.4648379217146 41.8137110033444,12.461119847956 41.8092132983878,12.4536884602731 41.8108821826287,12.4514114275903 41.8174949787346)))",1001211
"MULTIPOLYGON (((12.4614919584698 41.8307037716347,12.468769309518 41.8280058814183,12.4669709836269 41.8202509286912,12.46428059709 41.816911109126,12.4578689066373 41.8214693657699,12.4562347534655 41.8277723588354,12.4614919584698 41.8307037716347)))",1001205
"MULTIPOLYGON (((12.4607460573016 41.8385534572485,12.4669596517155 41.8433839918659,12.4673774119211 41.8426132143676,12.465597897962 41.8364632230499,12.4624727795097 41.8353750737732,12.4606907171423 41.837747540091,12.4607460573016 41.8385534572485)))",1001207
"MULTIPOLYGON (((12.4644748154323 41.782169048502,12.4666305269805 41.7970722686189,12.4740232823644 41.8040800796715,12.4771772329786 41.8037008774737,12.4791499920911 41.8003376777763,12.4731441902443 41.782169048502,12.4644748154323 41.782169048502)))",56061
