WKT,id,from_node,to_node,length,v0,connector,lanes,alpha,rcr,capacity,modes
"MULTILINESTRING ((12.4395032055178 41.8176173225411,12.4394312032419 41.81756832171,12.4391981960463 41.8173873187795))",-54468,"44011","43954",0.035998000000000,50.100000000000001,0,2.000000000000000,1.600000000000000,30.000000000000000,3087.000000000000000,"c,h"
"MULTILINESTRING ((12.4501336842227 41.8059402419564,12.450178686057 41.8059162418885,12.450246688887 41.8058722417029,12.4503126916662 41.8058252414766,12.4503466930813 41.8058032413837,12.4503726941873 41.8057832412786,12.4504196961704 41.8057492411118,12.4504876990683 41.8056962408295,12.4505457015536 41.8056492405695))",-59452,"47534","47626",0.047171000000000,55.100000000000001,0,1.000000000000000,1.600000000000000,30.000000000000000,2494.393999999999778,"c,h"
"MULTILINESTRING ((12.4507166891095 41.8081332679747,12.4506786876983 41.8081352678358,12.4504806801971 41.8081652673224,12.4502706720363 41.80822426707,12.4501496672663 41.8082672670212,12.4500526634082 41.8083062670308))",-59182,"47648","47493",0.058877000000000,50.899999999999999,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4506856884229 41.8080732671993,12.4507126898748 41.8080122666579,12.4505746873074 41.8076802625088))",-59470,"47856","47855",0.045754000000000,50.899999999999999,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4505746873074 41.8076802625088,12.4504876838169 41.8077192625606,12.4506126859669 41.8080432665689,12.4506856884229 41.8080732671993))",-59536,"47855","47856",0.052805000000000,50.899999999999999,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4503046782466 41.8075662601446,12.4502696773074 41.8075202595027,12.4498316593974 41.8077612602431))",-59082,"47576","47575",0.051061000000000,50.899999999999999,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4498316593974 41.8077612602431,12.4498236572788 41.8080032628091,12.4498326572475 41.8080512633627,12.4498576578343 41.808095263941,12.4498986590316 41.8081362645545,12.4500526634082 41.8083062670308))",-59181,"47575","47493",0.066079000000000,43.100000000000001,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4515377173226 41.808392274222,12.4514017126046 41.8083552732505,12.4512027056245 41.808311271938,12.4511647044092 41.8082872715198,12.4510717014822 41.808222270429,12.4509926989112 41.8081782696229,12.4509086960661 41.8081462689247,12.4508056924022 41.808130268318,12.4507166891095 41.8081332679747))",-59555,"47914","47648",0.076141000000000,50.899999999999999,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4506856884229 41.8080732671993,12.4507166891095 41.8081332679747))",-59554,"47856","47648",0.007145000000000,50.899999999999999,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4501196569123 41.8094942800771,12.4500856552559 41.8095482805138,12.4500156523219 41.8095962807341,12.4499446494416 41.8096322808212,12.4498566459669 41.8096642807936,12.449781643098 41.8096792806382,12.4496796393049 41.8096852802722,12.4496036365576 41.8096792798869,12.449536634224 41.8096622794214,12.4494876325593 41.8096442790212,12.4494396310219 41.8096142784962,12.44940662993 41.8095982781851,12.4493606285188 41.8095612775934,12.4493246274901 41.8095222770224,12.4492896265661 41.8094742763589,12.4492656261819 41.8094082755485,12.4492466264641 41.8092782740715,12.4483605931404 41.8093802714273))",-58471,"47107","47106",0.183527000000000,40.500000000000000,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
