WKT,id,centroid,modes
"POINT (12.4378452217108 41.8074042057845)",43531,0,"c,h"
"POINT (12.4410403341157 41.8080642263752)",43532,0,"c,h"
"POINT (12.4387182177802 41.8121732607115)",43545,0,"c,h"
"POINT (12.4378891918725 41.8115702507283)",43548,0,"c,h"
"POINT (12.4379931961544 41.8115092505124)",43549,0,"c,h"
"POINT (12.4383792058071 41.8121092585911)",43550,0,"c,h"
"POINT (12.4383892341708 41.8084012187937)",43598,0,"c,h"
"POINT (12.4410743195149 41.8101642490801)",43599,0,"c,h"
"POINT (12.4387262697804 41.8053241871662)",43681,0,"c,h"
"POINT (12.4384562081456 41.8121742596149)",43707,0,"c,h"
"POINT (12.438549179945 41.8163613050076)",43728,0,"c,h"
"POINT (12.4384621736213 41.8167753090901)",43729,0,"c,h"
"POINT (12.4386222135429 41.8122672613159)",43738,0,"c,h"
"POINT (12.4379971908117 41.8122362583413)",43739,0,"c,h"
"POINT (12.4386421788615 41.8169573118073)",43743,0,"c,h"
"POINT (12.4387051838727 41.816600308236)",43780,0,"c,h"
"POINT (12.4401182446775 41.8154243015667)",43781,0,"c,h"
"POINT (12.4388451851433 41.8171133143422)",43816,0,"c,h"
"POINT (12.4387892190677 41.8123482628921)",43872,0,"c,h"
"POINT (12.4389981898671 41.8172323162681)",43888,0,"c,h"
"POINT (12.4395402061903 41.8177083236757)",43921,0,"c,h"
"POINT (12.4391981960463 41.8173873187795)",43954,0,"c,h"
"POINT (12.439127168189 41.8207303544212)",43989,0,"c,h"
"POINT (12.4393481747854 41.8209323575273)",43990,0,"c,h"
"POINT (12.4395032055178 41.8176173225411)",44011,0,"c,h"
"POINT (12.4395981832256 41.8210313596484)",44061,0,"c,h"
"POINT (12.4394941811859 41.8207953566712)",44062,0,"c,h"
"POINT (12.4408733347046 41.8071732160983)",44074,0,"c,h"
"POINT (12.4419814126121 41.8022431678312)",44079,0,"c,h"
"POINT (12.4426854381578 41.8022851712559)",44084,0,"c,h"
"POINT (12.445033523013 41.8024711831694)",44085,0,"c,h"
"POINT (12.4394911831225 41.8205243537445)",44108,0,"c,h"
"POINT (12.4395591861276 41.8204573533115)",44109,0,"c,h"
"POINT (12.4395961863923 41.820602355027)",44110,0,"c,h"
"POINT (12.4396551882358 41.8206453557387)",44111,0,"c,h"
"POINT (12.4396122091609 41.8176653235177)",44113,0,"c,h"
"POINT (12.440928248628 41.8188433417432)",44124,0,"c,h"
"POINT (12.4397921942451 41.8205163549306)",44151,0,"c,h"
"POINT (12.4398401938114 41.8208073582625)",44152,0,"c,h"
"POINT (12.4399051930735 41.8212213629889)",44153,0,"c,h"
"POINT (12.4409682508229 41.8187473408801)",44157,0,"c,h"
"POINT (12.4402462145552 41.8200363516881)",44229,0,"c,h"
"POINT (12.4437403019607 41.8254674248583)",44239,0,"c,h"
"POINT (12.4398871958408 41.820767358031)",44252,0,"c,h"
"POINT (12.4399791986706 41.8208403592048)",44265,0,"c,h"
"POINT (12.4403632166197 41.8203323553652)",44266,0,"c,h"
"POINT (12.4398962225201 41.8172783205576)",44268,0,"c,h"
"POINT (12.4401812318759 41.817426323353)",44269,0,"c,h"
"POINT (12.4408353917063 41.7994341328304)",44271,0,"c,h"
"POINT (12.439933307037 41.806263202352)",44275,0,"c,h"
"POINT (12.4413283530893 41.8069522156467)",44276,0,"c,h"
"POINT (12.4409043948973 41.7993471321878)",44285,0,"c,h"
"POINT (12.4407072214763 41.821363367905)",44291,0,"c,h"
"POINT (12.4410283497348 41.8059362034661)",44311,0,"c,h"
"POINT (12.4408602751678 41.8149973001125)",44328,0,"c,h"
"POINT (12.4403082543172 41.8150722985861)",44329,0,"c,h"
"POINT (12.4415082872555 41.8165503195433)",44351,0,"c,h"
"POINT (12.4426853133191 41.8188273489946)",44352,0,"c,h"
"POINT (12.4402213252785 41.805248192667)",44366,0,"c,h"
"POINT (12.4407603495407 41.8046571885969)",44367,0,"c,h"
"POINT (12.4415854026517 41.8016351596299)",44371,0,"c,h"
"POINT (12.4421584322866 41.8004971498315)",44376,0,"c,h"
"POINT (12.4402472156643 41.8198943501655)",44378,0,"c,h"
"POINT (12.4400302063677 41.8200693511301)",44379,0,"c,h"
"POINT (12.4399332437989 41.8146402923584)",44391,0,"c,h"
"POINT (12.4407382719153 41.814834297845)",44392,0,"c,h"
"POINT (12.4407983585132 41.803653177975)",44393,0,"c,h"
"POINT (12.4408123547187 41.8042241841663)",44394,0,"c,h"
"POINT (12.4405042227759 41.820203354574)",44409,0,"c,h"
"POINT (12.4404163484262 41.8031301707447)",44429,0,"c,h"
"POINT (12.4405782250272 41.8202653555533)",44456,0,"c,h"
"POINT (12.4405782259183 41.8201473542845)",44457,0,"c,h"
"POINT (12.4405772269313 41.8200083527858)",44495,0,"c,h"
"POINT (12.4410372519618 41.8189323431606)",44496,0,"c,h"
"POINT (12.4408932392998 41.8199083530458)",44499,0,"c,h"
"POINT (12.4411912443012 41.8206963627779)",44500,0,"c,h"
"POINT (12.4410552970772 41.8130442799467)",44536,0,"c,h"
"POINT (12.441920427806 41.7999321427602)",44545,0,"c,h"
"POINT (12.4410612321003 41.821679372799)",44546,0,"c,h"
"POINT (12.4408242754303 41.8147872977033)",44556,0,"c,h"
"POINT (12.441423371378 41.804991194985)",44560,0,"c,h"
"POINT (12.4430944371595 41.8044091957929)",44576,0,"c,h"
"POINT (12.4411403014838 41.812874278479)",44579,0,"c,h"
"POINT (12.4414423141661 41.8126642774982)",44580,0,"c,h"
"POINT (12.4410842844711 41.8148552995327)",44582,0,"c,h"
"POINT (12.4409222768119 41.8150813012773)",44593,0,"c,h"
"POINT (12.4414724135292 41.7996431377651)",44595,0,"c,h"
"POINT (12.4414093536504 41.8072722194263)",44602,0,"c,h"
"POINT (12.4445385087503 41.8019511754953)",44606,0,"c,h"
"POINT (12.4412312579512 41.8190833456038)",44607,0,"c,h"
"POINT (12.4411672498302 41.8198473535477)",44608,0,"c,h"
"POINT (12.4412632907771 41.8148913006759)",44619,0,"c,h"
"POINT (12.4408572741214 41.8151213014326)",44620,0,"c,h"
"POINT (12.4412484055648 41.7996081364431)",44633,0,"c,h"
"POINT (12.4411192554585 41.818868342819)",44634,0,"c,h"
"POINT (12.4410142945288 41.8131822812566)",44647,0,"c,h"
"POINT (12.4407842844618 41.8133962825846)",44648,0,"c,h"
"POINT (12.4411813001596 41.8132492826822)",44649,0,"c,h"
"POINT (12.44197738574 41.8057852058533)",44653,0,"c,h"
"POINT (12.4411163357231 41.8082212283829)",44660,0,"c,h"
"POINT (12.4411492998971 41.8131282812466)",44668,0,"c,h"
"POINT (12.4415552470995 41.8220973793814)",44669,0,"c,h"
"POINT (12.4411692880023 41.8148012993114)",44673,0,"c,h"
"POINT (12.4419823561304 41.8097332482855)",44678,0,"c,h"
"POINT (12.4416783553832 41.8083522321645)",44679,0,"c,h"
"POINT (12.4413142614771 41.8190203452772)",44681,0,"c,h"
