id_detector,timestamp,value,mode,day_type
50496,960,3022.425,all,weekend
50496,975,3022.425,all,weekend
50496,990,3022.425,all,weekend
50496,1005,3022.425,all,weekend
50496,1020,2505.75,all,weekend
50496,1035,2505.75,all,weekend
50496,1050,2505.75,all,weekend
50496,1065,2505.75,all,weekend
50496,1080,3319.35,all,weekend
50496,1095,3319.35,all,weekend
50496,1110,3319.35,all,weekend
50496,1125,3319.35,all,weekend
50496,1140,3053.325,all,weekend
50496,1155,3053.325,all,weekend
50496,1170,3053.325,all,weekend
50496,1185,3053.325,all,weekend
50496,1200,2293.65,all,weekend
50496,1215,2293.65,all,weekend
50496,1230,2293.65,all,weekend
50496,1245,2293.65,all,weekend
50496,1260,1621.575,all,weekend
50496,1275,1621.575,all,weekend
50496,1290,1621.575,all,weekend
50496,1305,1621.575,all,weekend
50496,1320,1426.65,all,weekend
50496,1335,1426.65,all,weekend
50496,1350,1426.65,all,weekend
50496,1365,1426.65,all,weekend
50496,1380,1297,all,weekend
50496,1395,1297,all,weekend
50496,1410,1297,all,weekend
50496,1425,1297,all,weekend
49685,0,676.3,all,weekend
49685,15,676.3,all,weekend
49685,30,676.3,all,weekend
49685,45,676.3,all,weekend
49685,60,384.9,all,weekend
49685,75,384.9,all,weekend
49685,90,384.9,all,weekend
49685,105,384.9,all,weekend
49685,120,257.25,all,weekend
49685,135,257.25,all,weekend
49685,150,257.25,all,weekend
49685,165,257.25,all,weekend
49685,180,362.3,all,weekend
49685,195,362.3,all,weekend
49685,210,362.3,all,weekend
49685,225,362.3,all,weekend
49685,240,640.875,all,weekend
49685,255,640.875,all,weekend
49685,270,640.875,all,weekend
49685,285,640.875,all,weekend
49685,300,1074.225,all,weekend
49685,315,1074.225,all,weekend
49685,330,1074.225,all,weekend
49685,345,1074.225,all,weekend
49685,360,1647.05,all,weekend
49685,375,1647.05,all,weekend
49685,390,1647.05,all,weekend
49685,405,1647.05,all,weekend
49685,420,1870.8,all,weekend
49685,435,1870.8,all,weekend
49685,450,1870.8,all,weekend
49685,465,1870.8,all,weekend
49685,480,2168.35,all,weekend
49685,495,2168.35,all,weekend
49685,510,2168.35,all,weekend
49685,525,2168.35,all,weekend
49685,540,2645.05,all,weekend
49685,555,2645.05,all,weekend
49685,570,2645.05,all,weekend
49685,585,2645.05,all,weekend
49685,600,2344.925,all,weekend
49685,615,2344.925,all,weekend
49685,630,2344.925,all,weekend
49685,645,2344.925,all,weekend
49685,660,2341.925,all,weekend
49685,675,2341.925,all,weekend
49685,690,2341.925,all,weekend
49685,705,2341.925,all,weekend
49685,720,2426.45,all,weekend
49685,735,2426.45,all,weekend
49685,750,2426.45,all,weekend
49685,765,2426.45,all,weekend
49685,780,2341.2,all,weekend
49685,795,2341.2,all,weekend
49685,810,2341.2,all,weekend
49685,825,2341.2,all,weekend
49685,840,2283.45,all,weekend
49685,855,2283.45,all,weekend
49685,870,2283.45,all,weekend
49685,885,2283.45,all,weekend
49685,900,2390.7,all,weekend
49685,915,2390.7,all,weekend
49685,930,2390.7,all,weekend
49685,945,2390.7,all,weekend
49685,960,2125.625,all,weekend
49685,975,2125.625,all,weekend
49685,990,2125.625,all,weekend
49685,1005,2125.625,all,weekend
49685,1020,2472.475,all,weekend
49685,1035,2472.475,all,weekend
49685,1050,2472.475,all,weekend
49685,1065,2472.475,all,weekend
49685,1080,2528.625,all,weekend
49685,1095,2528.625,all,weekend
49685,1110,2528.625,all,weekend
49685,1125,2528.625,all,weekend
49685,1140,2995.925,all,weekend
49685,1155,2995.925,all,weekend
49685,1170,2995.925,all,weekend
49685,1185,2995.925,all,weekend
49685,1200,1908.35,all,weekend
49685,1215,1908.35,all,weekend
49685,1230,1908.35,all,weekend
49685,1245,1908.35,all,weekend
49685,1260,1275.65,all,weekend
49685,1275,1275.65,all,weekend
49685,1290,1275.65,all,weekend
49685,1305,1275.65,all,weekend
